Bird_ID,Species,Region,Habitat,Weather_Condition,Migration_Reason,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude,Flight_Distance_km,Flight_Duration_hours,Average_Speed_kmph,Max_Altitude_m,Min_Altitude_m,Temperature_C,Wind_Speed_kmph,Migration_Start_Month,Migration_End_Month,Rest_Stops,Migrated_in_Flock,Flock_Size,Migration_Interrupted,Interrupted_Reason,Migration_Success,Observation_Counts,Origin
B1000,warbler,south america,Grassland,Stormy,Feeding,11.906566441337574,-169.37825068830264,30.37764666430312,-21.36687925839209,1753.79,49.5,47.82,5280,285,-2.2,9.1,Jan,Apr,3,Yes,264,Yes,Storm,Failed,56,"11.906566441337574, -169.37825068830264"
B1001,stork,north america,Grassland,Stormy,Breeding,62.301545854189925,-111.47506945435978,39.92109196071499,47.96343632717577,3263.05,46.1,48.41,3166,896,6.6,59.6,Apr,Dec,2,Yes,212,Yes,Injury,Successful,61,"62.301545854189925, -111.47506945435978"
B1002,hawk,south america,Mountain,Stormy,Avoid Predators,87.86116387126651,-78.72732718179907,66.9909803844028,19.44846614106183,2871.65,30.2,57.36,5880,444,31.0,12.3,May,Nov,2,Yes,340,No,Lost Signal,Failed,71,"87.86116387126651, -78.72732718179907"
B1003,warbler,south america,Urban,Stormy,Climate Change,35.77058955392532,153.1043405316318,-49.00314464266457,-157.86874351896182,2317.38,58.7,55.38,1120,806,11.0,16.4,Jan,Nov,8,No,484,Yes,Lost Signal,Successful,68,"35.77058955392532, 153.1043405316318"
B1004,crane,europe,Urban,Windy,Avoid Predators,-21.611614380025586,106.67482429343966,11.681051201013176,-115.02286310465428,3077.38,56.9,53.92,7921,676,13.5,31.7,Oct,Oct,11,No,184,No,,Failed,67,"-21.611614380025586, 106.67482429343966"
B1005,hawk,europe,Grassland,Stormy,Climate Change,-15.8716165438901,138.29223115055436,18.59421377291549,-175.11606758771504,2987.62,52.9,52.39,4294,380,26.9,1.6,Nov,May,5,Yes,451,No,Lost Signal,Failed,63,"-15.8716165438901, 138.29223115055436"
B1006,hawk,africa,Urban,Stormy,Feeding,-26.697200446302496,-21.42750701617652,-37.285769195091696,-141.0613777806895,2158.76,56.2,41.32,5485,193,32.2,49.6,Feb,Jun,3,Yes,278,No,Predator,Successful,17,"-26.697200446302496, -21.42750701617652"
B1007,warbler,north america,Urban,Stormy,Avoid Predators,18.65035796525161,116.12235285951118,87.83093065759181,82.74587751993033,2595.28,67.6,52.28,8161,874,32.1,27.1,Mar,Jun,8,Yes,130,Yes,Injury,Failed,24,"18.65035796525161, 116.12235285951118"
B1008,goose,south america,Coastal,Rainy,Climate Change,43.09303872928518,127.25768586482953,51.39682494231954,-178.30398175007423,2446.57,44.9,48.96,8448,240,1.5,21.1,Apr,May,12,No,385,Yes,Lost Signal,Failed,75,"43.09303872928518, 127.25768586482953"
B1009,crane,north america,Urban,Stormy,Breeding,57.50416144600757,-36.01554340500013,-32.17210154903058,-70.41401474120393,2167.5,53.1,55.56,8731,731,-6.7,26.4,May,May,13,Yes,209,No,Predator,Successful,24,"57.50416144600757, -36.01554340500013"
B1010,warbler,asia,Wetland,Clear,Feeding,-15.013240257029068,178.00626518793098,-25.48181597974508,-18.2442944237022,2522.04,37.6,48.37,3548,715,13.4,58.2,Nov,Apr,9,No,49,No,Lost Signal,Successful,43,"-15.013240257029068, 178.00626518793098"
B1011,crane,south america,Forest,Stormy,Climate Change,39.00753040662707,126.4459065177129,39.28646679122281,157.61240967556495,2884.1,67.4,35.85,3637,565,21.4,29.6,Jan,Nov,2,Yes,165,Yes,Storm,Failed,65,"39.00753040662707, 126.4459065177129"
B1012,crane,north america,Grassland,Stormy,Breeding,74.92006656535975,170.67490874812393,-87.93118413119832,-62.27747359563018,2032.75,50.8,52.67,3602,210,24.6,45.2,May,Jun,9,No,100,No,Lost Signal,Successful,53,"74.92006656535975, 170.67490874812393"
B1013,hawk,africa,Grassland,Windy,Breeding,75.74846300112696,131.93895911225957,-6.472739218593986,101.92707471899058,2911.47,29.9,48.6,7964,334,20.0,0.9,Jan,Apr,11,Yes,240,No,Injury,Failed,93,"75.74846300112696, 131.93895911225957"
B1014,stork,africa,Wetland,Stormy,Climate Change,36.72522048863566,99.43331049201883,-28.240025021599266,-32.84439136106579,1571.3,46.3,49.01,5374,718,-6.0,45.3,Apr,Jun,8,No,344,No,Lost Signal,Successful,61,"36.72522048863566, 99.43331049201883"
B1015,crane,south america,Forest,Rainy,Avoid Predators,24.642394706256496,159.78379444723646,63.72053423500583,-144.54310317069115,2609.86,63.0,50.06,2985,631,5.0,5.7,Oct,Nov,13,Yes,342,Yes,Predator,Failed,55,"24.642394706256496, 159.78379444723646"
B1016,eagle,asia,Forest,Foggy,Breeding,5.674693594501221,-28.86507194954757,52.43308388080612,-144.41625072110548,2131.78,57.3,56.6,8353,212,-9.7,47.6,May,Dec,6,Yes,273,No,,Successful,92,"5.674693594501221, -28.86507194954757"
B1017,hawk,africa,Wetland,Stormy,Feeding,-57.02441972721686,102.00003605887052,-30.222553190312347,-24.32382480629357,3288.87,66.5,61.05,1832,108,25.7,55.1,Jan,Nov,5,No,90,Yes,Lost Signal,Failed,42,"-57.02441972721686, 102.00003605887052"
B1018,goose,africa,Mountain,Stormy,Breeding,-67.74666253102467,-103.35916587020056,65.66345594977818,-159.16207265417495,1694.11,48.9,50.23,4278,744,-6.2,14.0,Jan,Jun,1,No,475,No,Predator,Failed,11,"-67.74666253102467, -103.35916587020056"
B1019,stork,asia,Mountain,Stormy,Avoid Predators,-2.572018777911552,83.80578769958771,74.44800109215512,25.782926854066066,2380.28,58.3,45.48,2108,639,17.0,16.6,May,Apr,3,No,194,Yes,Predator,Successful,75,"-2.572018777911552, 83.80578769958771"
B1020,eagle,north america,Forest,Windy,Feeding,-61.30005188265732,102.72718189886145,9.442592844166969,-2.2860952679238267,2083.79,53.7,38.04,6720,637,5.5,48.5,Mar,Nov,6,Yes,338,No,Injury,Successful,25,"-61.30005188265732, 102.72718189886145"
B1021,eagle,africa,Mountain,Foggy,Feeding,13.859986620480484,77.9487875580923,-61.33733952154687,72.91266685062425,2216.22,53.5,59.29,4204,553,10.8,47.1,Sep,Dec,8,Yes,192,No,Predator,Successful,19,"13.859986620480484, 77.9487875580923"
B1022,goose,europe,Mountain,Windy,Feeding,26.22649145421927,125.9327035285782,48.65905491268825,-113.1762494124616,1931.06,40.2,61.03,5433,698,3.2,47.6,Feb,Jun,10,No,385,No,Predator,Successful,42,"26.22649145421927, 125.9327035285782"
B1023,stork,australia,Mountain,Windy,Climate Change,4.61080755360733,-31.199239134141976,-32.51803679501478,33.45453134166078,2586.22,19.3,43.28,7043,815,23.3,48.5,Jan,Jun,9,Yes,495,No,Lost Signal,Failed,10,"4.61080755360733, -31.199239134141976"
B1024,hawk,australia,Forest,Windy,Breeding,-83.44319174772954,16.11652754717693,4.91065020716438,-117.17190851563656,2613.6,49.4,51.25,1826,745,4.9,20.7,Sep,Apr,6,Yes,252,No,Predator,Successful,31,"-83.44319174772954, 16.11652754717693"
B1025,swallow,africa,Mountain,Rainy,Avoid Predators,-79.60896741558021,-176.15973214970245,-81.79404038505574,80.00413685015371,1635.55,29.0,50.44,6973,844,22.2,57.0,Apr,Apr,5,Yes,29,No,Predator,Successful,41,"-79.60896741558021, -176.15973214970245"
